"Station","Position (geoJSON)","Fournisseur","date","Profondeur","Temp. de l'eau","Salinité","Pression","Densité","Fluorescence","Période de vague","Hauteur de vague moy.","Hauteur de vague max.","Courant - Vitesse (6m)","Courant-Direction(6m)","Vitesse du vent","Rafales","Direction du vent","Temp. air","Humidité","Précipitation","PAR","CDOM","Courant - Vitesse (0m)","Courant-Direction(0m)","Eau - pH","Eau - Rétrodiffusion"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T12:30Z[UTC]","","17.23","29.56","101.06","1023.72","0.6192","5.6","1.9","2.6","0.11","211.0","9.0","18.0","310.0","16.3","0.0","","9.5399996E15","1.176","0.4","222.0","","3.64E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T13:00Z[UTC]","","17.27","29.56","101.07","1023.72","0.5112","5.5","1.8","2.9","0.1","208.0","10.0","18.0","309.0","16.1","0.0","","1.67400001E16","1.086","0.4","223.0","","3.59E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T13:30Z[UTC]","","17.33","29.56","101.04","1023.72","0.4536","5.7","1.8","3.0","0.06","234.0","11.0","20.0","331.0","16.0","0.0","","1.90200007E16","1.267","0.4","251.0","","3.59E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T14:00Z[UTC]","","17.33","29.59","101.05","1023.74","0.5904","5.1","1.6","2.4","0.07","242.0","13.0","19.0","341.0","16.0","0.0","","1.18799998E16","1.086","0.4","240.0","","3.64E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T14:30Z[UTC]","","17.26","29.55","101.090004","1023.71","0.648","5.7","1.8","3.4","0.04","250.0","17.0","24.0","302.0","15.9","100.0","","8.5200002E15","1.086","0.3","235.0","","3.74E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T15:00Z[UTC]","","17.28","29.52","101.12","1023.68","0.684","5.6","1.5","2.0","0.04","238.0","16.0","25.0","305.0","15.9","100.0","","5.8799997E15","1.176","0.4","240.0","","3.74E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T15:30Z[UTC]","","17.31","29.51","101.090004","1023.68","0.6984","5.5","1.6","3.2","0.04","268.0","14.0","22.0","292.0","15.8","100.0","0.0","8.5799998E15","1.176","0.3","235.0","","3.74E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T16:00Z[UTC]","","17.3","29.43","101.08","1023.61","0.6624","5.4","1.5","2.2","0.05","259.0","11.0","19.0","329.0","15.7","100.0","2.0","1.04400003E16","1.176","0.3","251.0","","3.63E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T16:30Z[UTC]","","17.31","29.41","101.07","1023.6","0.5904","5.4","1.5","2.2","0.05","281.0","10.0","20.0","314.0","15.7","100.0","2.0","1.51199996E16","0.9955","0.3","257.0","","3.64E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-27T17:00Z[UTC]","","17.34","29.45","101.06","1023.63","0.6048","5.7","1.5","2.2","0.06","269.0","10.0","16.0","314.0","15.7","100.0","2.0","1.19400005E16","1.086","0.3","233.0","","3.68E-4"
