"Station","Position (geoJSON)","Fournisseur","date","Profondeur","Temp. de l'eau","Salinité","Pression","Densité","Fluorescence","Période de vague","Hauteur de vague moy.","Hauteur de vague max.","Courant - Vitesse (6m)","Courant-Direction(6m)","Vitesse du vent","Rafales","Direction du vent","Temp. air","Humidité","Précipitation","PAR","CDOM","Courant - Vitesse (0m)","Courant-Direction(0m)","Eau - pH","Eau - Rétrodiffusion"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T20:30Z[UTC]","","16.07","30.2","101.04","1022.05","0.4752","4.3","1.2","2.2","","","30.0","39.0","180.0","16.6","88.0","0.0","2.08800007E16","5.56","","43.0","","0.001404"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T21:00Z[UTC]","","15.97","30.21","101.08","1022.08","0.4392","4.1","1.1","1.9","","","25.0","33.0","205.0","16.8","88.0","0.0","2.73600004E16","5.56","","56.0","","0.001438"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T21:30Z[UTC]","","15.95","30.2","101.07","1022.08","0.6264","4.1","1.0","1.7","","","23.0","30.0","194.0","16.8","88.0","0.0","9.3599997E15","5.56","","56.0","","0.00147"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T22:00Z[UTC]","","15.92","30.21","101.090004","1022.09","0.7056","3.9","0.8","1.4","","","23.0","30.0","195.0","16.8","88.0","0.0","4.02E15","5.56","","62.0","","0.001442"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T22:30Z[UTC]","","15.89","30.23","101.07","1022.11","0.6984","4.0","0.8","1.4","","","23.0","30.0","191.0","16.7","88.0","0.3","2.03999994E15","5.56","","63.0","","0.001394"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T23:00Z[UTC]","","15.81","30.27","101.07","1022.15","0.6696","4.0","0.9","1.4","","","17.0","20.0","191.0","16.8","88.0","0.4","3.54000009E15","5.56","","80.0","","0.00136"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T23:30Z[UTC]","","15.61","30.39","101.08","1022.29","0.6192","4.2","0.9","1.5","","","18.0","25.0","200.0","16.8","88.0","0.4","8.3999997E14","5.38","","92.0","","0.001283"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T00:00Z[UTC]","","15.64","30.52","101.08","1022.38","0.5328","4.1","0.7","1.2","","","13.0","17.0","207.0","16.8","88.0","0.0","0.0","5.1","","113.0","","0.001158"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T00:30Z[UTC]","","15.65","30.61","101.12","1022.46","0.5184","4.2","0.8","1.1","","","12.0","18.0","237.0","17.1","87.0","0.0","0.0","5.01","","123.0","","0.001078"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T01:00Z[UTC]","","15.52","30.73","101.14","1022.58","0.5184","4.2","0.8","1.3","","","7.0","12.0","274.0","16.9","88.0","0.0","0.0","4.91","","141.0","","0.001026"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T01:30Z[UTC]","","15.43","30.55","101.14","1022.46","0.5112","4.3","0.8","1.2","","","7.0","11.0","232.0","16.9","88.0","7.2","0.0","4.82","","156.0","","0.001019"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T02:00Z[UTC]","","15.4","30.71","101.12","1022.59","0.4896","4.2","0.8","1.1","","","11.0","19.0","300.0","16.0","90.0","7.2","0.0","4.73","","166.0","","9.783E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T02:30Z[UTC]","","15.41","30.84","101.12","1022.68","0.504","4.3","0.8","1.3","","","19.0","27.0","309.0","16.0","90.0","7.2","0.0","4.73","","162.0","","9.748E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T03:00Z[UTC]","","15.38","30.89","101.15","1022.73","0.504","4.4","0.7","1.1","","","16.0","24.0","320.0","15.7","90.0","7.2","0.0","4.73","","172.0","","9.979E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T03:30Z[UTC]","","15.37","30.89","101.159996","1022.73","0.504","4.2","0.7","0.9","","","20.0","29.0","324.0","15.7","90.0","7.2","0.0","4.73","","176.0","","0.001041"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T04:00Z[UTC]","","15.33","30.87","101.17","1022.73","0.504","4.1","0.7","1.3","","","20.0","28.0","333.0","15.5","90.0","7.2","0.0","4.82","","169.0","","0.001003"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T04:30Z[UTC]","","15.26","30.83","101.17","1022.71","0.5184","4.1","0.7","1.2","","","20.0","30.0","330.0","15.5","90.0","7.2","0.0","4.82","","182.0","","0.001021"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T05:00Z[UTC]","","15.28","30.81","101.21","1022.69","0.5112","4.0","0.8","1.1","","","27.0","40.0","356.0","15.1","91.0","7.2","0.0","5.01","","174.0","","0.00108"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T05:30Z[UTC]","","15.27","30.76","101.21","1022.65","0.5112","3.8","0.7","1.1","","","21.0","29.0","345.0","15.2","90.0","7.2","","5.01","","195.0","","0.001032"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T06:00Z[UTC]","","15.27","30.72","101.25","1022.62","0.5328","3.9","0.8","1.6","","","18.0","26.0","351.0","15.1","90.0","7.2","","5.19","","246.0","","0.001082"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T06:30Z[UTC]","","15.42","30.65","101.259995","1022.54","0.5184","4.2","0.7","1.1","","","22.0","29.0","354.0","15.1","90.0","7.2","0.0","5.19","","291.0","","0.001069"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-30T07:00Z[UTC]","","15.47","30.47","101.259995","1022.39","0.5544","4.1","0.7","1.0","","","16.0","23.0","1.0","15.1","90.0","7.2","0.0","5.47","","309.0","","0.001224"
